Prediction,Actual,% Difference
54.094,5.93,812.2091062
5.916,5.93,0.23608769
5.916,5.93,0.23608769
6.102,5.94,2.727272727
6.102,5.94,2.727272727
5.95,5.94,0.168350168
5.95,5.94,0.168350168
100.346,5.94,1589.326599
100.346,5.94,1589.326599
54.118,5.94,811.0774411
54.118,5.94,811.0774411
54.118,5.94,811.0774411
54.118,5.94,811.0774411
5.864,5.95,1.445378151
5.864,5.95,1.445378151
5.836,5.95,1.915966387
5.836,5.95,1.915966387
6.32,5.95,6.218487395
6.32,5.95,6.218487395
6.062,5.95,1.882352941
6.062,5.95,1.882352941
5.988,5.96,0.469798658
5.988,5.96,0.469798658
136.31,5.96,2187.080537
136.31,5.96,2187.080537
107.016,5.96,1695.57047
107.016,5.96,1695.57047
5.962,5.96,0.033557047
5.962,5.96,0.033557047
6.062,5.97,1.541038526
6.062,5.97,1.541038526
6.118,5.97,2.479061977
6.118,5.97,2.479061977
111.452,5.97,1766.867672
111.452,5.97,1766.867672
6.106,5.97,2.278056951
6.106,5.97,2.278056951
5.918,5.98,1.036789298
5.918,5.98,1.036789298
5.928,5.98,0.869565217
5.928,5.98,0.869565217
56.188,5.98,839.5986622
56.188,5.98,839.5986622
5.892,5.99,1.6360601
5.892,5.99,1.6360601
5.726,5.99,4.407345576
5.726,5.99,4.407345576
6.048,5.99,0.968280467
6.048,5.99,0.968280467
5.998,5.99,0.133555927
5.998,5.99,0.133555927
110.272,6,1737.866667
110.272,6,1737.866667
5.828,6,2.866666667
5.828,6,2.866666667
5.75,6,4.166666667
5.75,6,4.166666667
5.864,6,2.266666667
5.864,6,2.266666667
5.93,6,1.166666667
5.93,6,1.166666667
57.482,6,858.0333333
57.482,6,858.0333333
6.12,6,2
6.12,6,2
56.426,6,840.4333333
56.426,6,840.4333333
54.476,6.01,806.422629
54.476,6.01,806.422629
6.22,6.01,3.494176373
6.22,6.01,3.494176373
6.092,6.01,1.364392679
6.092,6.01,1.364392679
5.702,6.01,5.124792013
5.702,6.01,5.124792013
5.916,6.01,1.5640599
5.916,6.01,1.5640599
6.008,6.02,0.199335548
6.008,6.02,0.199335548
6.24,6.02,3.65448505
6.24,6.02,3.65448505
100.63,6.02,1571.594684
100.63,6.02,1571.594684
54.454,6.03,803.0514096
54.454,6.03,803.0514096
6.218,6.03,3.11774461
6.218,6.03,3.11774461
139.228,6.03,2208.922056
139.228,6.03,2208.922056
6.088,6.03,0.96185738
6.088,6.03,0.96185738
6.016,6.03,0.232172471
6.016,6.03,0.232172471
6.104,6.03,1.227197347
6.104,6.03,1.227197347
5.93,6.03,1.658374793
5.93,6.03,1.658374793
5.918,6.03,1.857379768
5.918,6.03,1.857379768
6.128,6.04,1.456953642
6.128,6.04,1.456953642
5.73,6.04,5.132450331
5.73,6.04,5.132450331
5.848,6.04,3.178807947
5.848,6.04,3.178807947
5.914,6.04,2.086092715
5.914,6.04,2.086092715
6.022,6.04,0.298013245
6.022,6.04,0.298013245
5.814,6.04,3.741721854
5.814,6.04,3.741721854
6.04,6.05,0.165289256
6.04,6.05,0.165289256
5.722,6.05,5.421487603
5.722,6.05,5.421487603
6.272,6.05,3.669421488
6.272,6.05,3.669421488
6.04,6.05,0.165289256
6.04,6.05,0.165289256
5.964,6.05,1.421487603
5.964,6.05,1.421487603
5.888,6.05,2.67768595
5.888,6.05,2.67768595
6.104,6.05,0.892561983
6.104,6.05,0.892561983
6.158,6.06,1.617161716
6.158,6.06,1.617161716
6.148,6.06,1.452145215
6.148,6.06,1.452145215
6.176,6.06,1.914191419
6.176,6.06,1.914191419
6.068,6.07,0.032948929
6.068,6.07,0.032948929
6.034,6.07,0.593080725
6.034,6.07,0.593080725
6.11,6.07,0.658978583
6.11,6.07,0.658978583
6.026,6.07,0.724876442
6.026,6.07,0.724876442
6.128,6.08,0.789473684
6.128,6.08,0.789473684
6.302,6.08,3.651315789
6.302,6.08,3.651315789
6.416,6.08,5.526315789
6.416,6.08,5.526315789
6.108,6.08,0.460526316
6.108,6.08,0.460526316
6.092,6.08,0.197368421
6.092,6.08,0.197368421
55.968,6.08,820.5263158
55.968,6.08,820.5263158
6.272,6.08,3.157894737
6.272,6.08,3.157894737
6.068,6.09,0.361247947
6.068,6.09,0.361247947
6.012,6.09,1.280788177
6.012,6.09,1.280788177
6.086,6.09,0.065681445
6.086,6.09,0.065681445
100.606,6.09,1551.986864
100.606,6.09,1551.986864
6.224,6.09,2.200328407
6.224,6.09,2.200328407
6.272,6.09,2.988505747
6.272,6.09,2.988505747
6.15,6.09,0.985221675
6.15,6.09,0.985221675
5.978,6.09,1.83908046
5.978,6.09,1.83908046
6.372,6.1,4.459016393
6.372,6.1,4.459016393
5.982,6.1,1.93442623
5.982,6.1,1.93442623
6.026,6.1,1.213114754
6.026,6.1,1.213114754
6.3,6.1,3.278688525
6.3,6.1,3.278688525
6.214,6.11,1.70212766
6.214,6.11,1.70212766
6.326,6.11,3.535188216
6.326,6.11,3.535188216
6.146,6.11,0.589198036
6.146,6.11,0.589198036
6.022,6.11,1.440261866
6.022,6.11,1.440261866
6.052,6.11,0.949263502
6.052,6.11,0.949263502
6.304,6.11,3.17512275
6.304,6.11,3.17512275
6.156,6.11,0.752864157
6.156,6.11,0.752864157
6.312,6.12,3.137254902
6.312,6.12,3.137254902
6.304,6.12,3.006535948
6.304,6.12,3.006535948
155.826,6.12,2446.176471
155.826,6.12,2446.176471
6.176,6.12,0.91503268
6.176,6.12,0.91503268
6.216,6.12,1.568627451
6.216,6.12,1.568627451
6.298,6.12,2.908496732
6.298,6.12,2.908496732
6.094,6.13,0.587275693
6.094,6.13,0.587275693
107.274,6.13,1649.983687
107.274,6.13,1649.983687
6.132,6.13,0.032626427
6.132,6.13,0.032626427
5.918,6.13,3.458401305
5.918,6.13,3.458401305
6.206,6.13,1.239804241
6.206,6.13,1.239804241
6.166,6.13,0.587275693
6.166,6.13,0.587275693
6.244,6.13,1.859706362
6.244,6.13,1.859706362
106.016,6.13,1629.461664
106.016,6.13,1629.461664
6.032,6.13,1.598694943
6.032,6.13,1.598694943
6.04,6.14,1.628664495
6.04,6.14,1.628664495
6.192,6.14,0.846905537
6.192,6.14,0.846905537
6.242,6.14,1.661237785
6.242,6.14,1.661237785
6.146,6.14,0.09771987
6.146,6.14,0.09771987
6.104,6.15,0.74796748
6.104,6.15,0.74796748
155.826,6.15,2433.756098
155.826,6.15,2433.756098
5.944,6.15,3.349593496
5.944,6.15,3.349593496
6.462,6.15,5.073170732
6.462,6.15,5.073170732
6.166,6.15,0.260162602
6.166,6.15,0.260162602
6.028,6.15,1.983739837
6.028,6.15,1.983739837
107.268,6.15,1644.195122
107.268,6.15,1644.195122
6.068,6.15,1.333333333
6.068,6.15,1.333333333
6.17,6.16,0.162337662
6.17,6.16,0.162337662
6.228,6.16,1.103896104
6.228,6.16,1.103896104
6.186,6.16,0.422077922
6.186,6.16,0.422077922
5.932,6.16,3.701298701
5.932,6.16,3.701298701
6.156,6.16,0.064935065
6.156,6.16,0.064935065
6.148,6.16,0.194805195
6.148,6.16,0.194805195
6.148,6.17,0.356564019
6.148,6.17,0.356564019
6.184,6.17,0.226904376
6.184,6.17,0.226904376
6.152,6.17,0.291734198
6.152,6.17,0.291734198
6.184,6.17,0.226904376
6.184,6.17,0.226904376
6.156,6.17,0.226904376
6.156,6.17,0.226904376
6.288,6.17,1.912479741
6.288,6.17,1.912479741
6.178,6.17,0.129659643
6.178,6.17,0.129659643
6.12,6.18,0.970873786
6.12,6.18,0.970873786
6.196,6.18,0.258899676
6.196,6.18,0.258899676
6.064,6.18,1.877022654
6.064,6.18,1.877022654
6.236,6.18,0.906148867
6.236,6.18,0.906148867
6.296,6.18,1.877022654
6.296,6.18,1.877022654
6.098,6.18,1.326860841
6.098,6.18,1.326860841
6.26,6.18,1.294498382
6.26,6.18,1.294498382
6.104,6.18,1.229773463
6.104,6.18,1.229773463
6.006,6.19,2.972536349
6.006,6.19,2.972536349
6.348,6.19,2.552504039
6.348,6.19,2.552504039
6.348,6.19,2.552504039
6.348,6.19,2.552504039
6.108,6.19,1.324717286
6.108,6.19,1.324717286
6.276,6.19,1.389337641
6.276,6.19,1.389337641
106.868,6.19,1626.462036
106.868,6.19,1626.462036
6.324,6.19,2.164781906
6.324,6.19,2.164781906
6.31,6.19,1.938610662
6.31,6.19,1.938610662
6.37,6.2,2.741935484
6.37,6.2,2.741935484
6.274,6.2,1.193548387
6.274,6.2,1.193548387
6.39,6.2,3.064516129
6.39,6.2,3.064516129
6.224,6.2,0.387096774
6.224,6.2,0.387096774
6.158,6.2,0.677419355
6.158,6.2,0.677419355
6.388,6.2,3.032258065
6.388,6.2,3.032258065
6.32,6.21,1.771336554
6.32,6.21,1.771336554
6.338,6.21,2.061191626
6.338,6.21,2.061191626
6.042,6.21,2.70531401
6.042,6.21,2.70531401
6.32,6.21,1.771336554
6.32,6.21,1.771336554
6.27,6.21,0.966183575
6.27,6.21,0.966183575
6.376,6.21,2.67310789
6.376,6.21,2.67310789
6.308,6.21,1.578099839
6.308,6.21,1.578099839
6.516,6.22,4.758842444
6.516,6.22,4.758842444
6.442,6.22,3.569131833
6.442,6.22,3.569131833
6.064,6.22,2.508038585
6.064,6.22,2.508038585
6.32,6.22,1.607717042
6.32,6.22,1.607717042
6.108,6.22,1.800643087
6.108,6.22,1.800643087
6.234,6.22,0.225080386
6.234,6.22,0.225080386
6.146,6.23,1.348314607
6.146,6.23,1.348314607
6.258,6.23,0.449438202
6.258,6.23,0.449438202
6.242,6.23,0.192616372
6.242,6.23,0.192616372
6.148,6.23,1.316211878
6.148,6.23,1.316211878
6.26,6.23,0.481540931
6.26,6.23,0.481540931
6.294,6.23,1.027287319
6.294,6.23,1.027287319
6.326,6.23,1.540930979
6.326,6.23,1.540930979
6.034,6.23,3.146067416
6.034,6.23,3.146067416
6.304,6.24,1.025641026
6.304,6.24,1.025641026
6.332,6.24,1.474358974
6.332,6.24,1.474358974
106.166,6.24,1601.378205
106.166,6.24,1601.378205
55.714,6.24,792.8525641
55.714,6.24,792.8525641
6.678,6.24,7.019230769
6.678,6.24,7.019230769
6.202,6.24,0.608974359
6.202,6.24,0.608974359
6.286,6.25,0.576
6.286,6.25,0.576
6.298,6.25,0.768
6.298,6.25,0.768
6.442,6.25,3.072
6.442,6.25,3.072
51.112,6.25,717.792
51.112,6.25,717.792
6.336,6.25,1.376
6.336,6.25,1.376
6.334,6.25,1.344
6.334,6.25,1.344
6.21,6.25,0.64
6.21,6.25,0.64
6.15,6.25,1.6
6.15,6.25,1.6
6.116,6.25,2.144
6.116,6.25,2.144
56.09,6.25,797.44
56.09,6.25,797.44
6.146,6.26,1.821086262
6.146,6.26,1.821086262
6.452,6.26,3.067092652
6.452,6.26,3.067092652
54.6,6.26,772.2044728
54.6,6.26,772.2044728
142.586,6.26,2177.731629
142.586,6.26,2177.731629
6.174,6.26,1.373801917
6.174,6.26,1.373801917
6.234,6.26,0.415335463
6.234,6.26,0.415335463
6.222,6.26,0.607028754
6.222,6.26,0.607028754
6.286,6.26,0.415335463
6.286,6.26,0.415335463
6.324,6.26,1.022364217
6.324,6.26,1.022364217
57.034,6.26,811.086262
57.034,6.26,811.086262
109.718,6.26,1652.683706
109.718,6.26,1652.683706
6.282,6.26,0.3514377
6.282,6.26,0.3514377
6.384,6.27,1.818181818
6.384,6.27,1.818181818
6.712,6.27,7.049441786
6.712,6.27,7.049441786
6.198,6.27,1.148325359
6.198,6.27,1.148325359
6.388,6.27,1.881977671
6.388,6.27,1.881977671
6.334,6.27,1.020733652
6.334,6.27,1.020733652
6.22,6.28,0.955414013
6.22,6.28,0.955414013
6.172,6.28,1.719745223
6.172,6.28,1.719745223
6.17,6.28,1.751592357
6.17,6.28,1.751592357
6.298,6.28,0.286624204
6.298,6.28,0.286624204
6.272,6.28,0.127388535
6.272,6.28,0.127388535
6.572,6.28,4.649681529
6.572,6.28,4.649681529
6.298,6.28,0.286624204
6.298,6.28,0.286624204
6.338,6.28,0.923566879
6.338,6.28,0.923566879
6.372,6.28,1.464968153
6.372,6.28,1.464968153
6.302,6.29,0.190779014
6.302,6.29,0.190779014
6.254,6.29,0.572337043
6.254,6.29,0.572337043
6.302,6.29,0.190779014
6.302,6.29,0.190779014
5.932,6.29,5.691573927
5.932,6.29,5.691573927
6.404,6.29,1.812400636
6.404,6.29,1.812400636
6.346,6.3,0.73015873
6.346,6.3,0.73015873
6.33,6.3,0.476190476
6.33,6.3,0.476190476
6.264,6.3,0.571428571
6.264,6.3,0.571428571
6.364,6.3,1.015873016
6.364,6.3,1.015873016
6.534,6.3,3.714285714
6.534,6.3,3.714285714
6.194,6.3,1.682539683
6.194,6.3,1.682539683
6.356,6.3,0.888888889
6.356,6.3,0.888888889
6.362,6.3,0.984126984
6.362,6.3,0.984126984
6.396,6.3,1.523809524
6.396,6.3,1.523809524
6.388,6.3,1.396825397
6.388,6.3,1.396825397
6.966,6.3,10.57142857
6.966,6.3,10.57142857
6.24,6.31,1.109350238
6.24,6.31,1.109350238
6.608,6.31,4.722662441
6.608,6.31,4.722662441
5.922,6.31,6.148969889
5.922,6.31,6.148969889
6.51,6.31,3.169572108
6.51,6.31,3.169572108
6.194,6.31,1.838351823
6.194,6.31,1.838351823
6.334,6.31,0.380348653
6.334,6.31,0.380348653
57.062,6.31,804.3106181
57.062,6.31,804.3106181
6.398,6.31,1.394611727
6.398,6.31,1.394611727
6.298,6.32,0.348101266
6.298,6.32,0.348101266
6.338,6.32,0.284810127
6.338,6.32,0.284810127
6.386,6.32,1.044303797
6.386,6.32,1.044303797
6.348,6.32,0.443037975
6.348,6.32,0.443037975
6.442,6.32,1.930379747
6.442,6.32,1.930379747
6.314,6.32,0.094936709
6.314,6.32,0.094936709
6.366,6.32,0.727848101
6.366,6.32,0.727848101
6.19,6.32,2.056962025
6.19,6.32,2.056962025
6.41,6.32,1.424050633
6.41,6.32,1.424050633
6.128,6.32,3.037974684
6.128,6.32,3.037974684
6.382,6.32,0.981012658
6.382,6.32,0.981012658
6.26,6.33,1.105845182
6.26,6.33,1.105845182
6.52,6.33,3.001579779
6.52,6.33,3.001579779
6.434,6.33,1.642969984
6.434,6.33,1.642969984
6.338,6.33,0.126382306
6.338,6.33,0.126382306
6.256,6.33,1.169036335
6.256,6.33,1.169036335
6.334,6.33,0.063191153
6.334,6.33,0.063191153
6.594,6.33,4.170616114
6.594,6.33,4.170616114
6.358,6.33,0.442338073
6.358,6.33,0.442338073
6.43,6.33,1.579778831
6.43,6.33,1.579778831
6.388,6.33,0.916271722
6.388,6.33,0.916271722
6.338,6.33,0.126382306
6.338,6.33,0.126382306
6.236,6.33,1.484992101
6.236,6.33,1.484992101
