Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Atwood,Ontario,43.67,-81.02,May,2.67,5.19,4.55,5.61,7.98,5.45
Atwood,Ontario,43.67,-81.02,November,2.23,2.38,2.47,2.17,2.85,1.38
Atwood,Ontario,43.67,-81.02,October,3.14,3.78,3.78,3.57,4.71,2.52
Atwood,Ontario,43.67,-81.02,September,3.05,4.45,4.21,4.45,6.01,3.82
Badgerville,Saskatchewan,51.63,-101.92,Annual,3.7,4.72,4.49,4.71,6.77,3.54
Badgerville,Saskatchewan,51.63,-101.92,April,4.26,5.96,5.5,6.11,8.71,4.95
Badgerville,Saskatchewan,51.63,-101.92,August,3.5,5.41,4.83,5.7,8.37,5.02
Badgerville,Saskatchewan,51.63,-101.92,December,3.14,2.89,3.13,2.49,3.49,0.88
Badgerville,Saskatchewan,51.63,-101.92,February,4.69,4.72,4.91,4.27,5.81,2.14
Badgerville,Saskatchewan,51.63,-101.92,January,3.78,3.53,3.79,3.07,4.29,1.19
Badgerville,Saskatchewan,51.63,-101.92,July,3.21,5.59,4.79,6.12,9.53,6.09
Badgerville,Saskatchewan,51.63,-101.92,June,3.07,5.41,4.61,5.98,9.32,6.05
Badgerville,Saskatchewan,51.63,-101.92,March,5.08,5.75,5.71,5.51,7.46,3.53
Badgerville,Saskatchewan,51.63,-101.92,May,3.34,5.52,4.82,5.98,8.96,5.79
Badgerville,Saskatchewan,51.63,-101.92,November,3.18,3.1,3.27,2.75,3.75,1.17
Badgerville,Saskatchewan,51.63,-101.92,October,3.69,4.09,4.11,3.83,5.14,2.14
Badgerville,Saskatchewan,51.63,-101.92,September,3.58,4.68,4.43,4.67,6.38,3.44
Baker Brook,New Brunswick,47.18,-67.67,Annual,3.12,4.17,3.96,4.18,5.76,3.41
Baker Brook,New Brunswick,47.18,-67.67,April,3.41,5.04,4.65,5.21,6.96,4.43
Baker Brook,New Brunswick,47.18,-67.67,August,2.97,4.84,4.35,5.11,7.08,4.72
Baker Brook,New Brunswick,47.18,-67.67,December,2.53,2.38,2.56,2.08,2.88,1.08
Baker Brook,New Brunswick,47.18,-67.67,February,4.18,4.29,4.46,3.91,5.3,2.41
Baker Brook,New Brunswick,47.18,-67.67,January,3.23,3.08,3.3,2.7,3.78,1.43
Baker Brook,New Brunswick,47.18,-67.67,July,2.65,4.91,4.25,5.37,7.73,5.44
Baker Brook,New Brunswick,47.18,-67.67,June,2.58,4.88,4.2,5.39,7.82,5.59
Baker Brook,New Brunswick,47.18,-67.67,March,4.38,5.22,5.14,5.04,6.7,3.63
Baker Brook,New Brunswick,47.18,-67.67,May,2.81,4.96,4.36,5.36,7.66,5.14
Baker Brook,New Brunswick,47.18,-67.67,November,2.53,2.58,2.7,2.32,3.09,1.31
Baker Brook,New Brunswick,47.18,-67.67,October,3.03,3.52,3.53,3.33,4.35,2.18
Baker Brook,New Brunswick,47.18,-67.67,September,3.17,4.34,4.11,4.35,5.78,3.48
Bakers Narrows,Manitoba,54.68,-101.66,Annual,3.44,4.31,4.08,4.32,6.19,3.31
Bakers Narrows,Manitoba,54.68,-101.66,April,4.56,6.05,5.6,6.18,8.81,4.9
Bakers Narrows,Manitoba,54.68,-101.66,August,3.42,5.03,4.49,5.31,7.8,4.64
Bakers Narrows,Manitoba,54.68,-101.66,December,2.37,2.18,2.36,1.88,2.59,0.62
Bakers Narrows,Manitoba,54.68,-101.66,February,4.41,4.39,4.57,3.96,5.33,1.86
