Municipality,Province,Latitude,Longitude,Month,Mean daily global insolation (kWh/m2) : S WITH 90,Mean daily global insolation (kWh/m2): S WITH LAT,Mean daily global insolation (kWh/m2): S WITH LAT + 15,Mean daily global insolation (kWh/m2): S WITH LAT - 15,Mean daily global insolation (kWh/m2): 2 AXIS TRACK,Mean daily global insolation (kWh/m2): S WITH 0
Lavillette,New Brunswick,47.26,-65.33,December,3.01,2.81,3.03,2.43,3.39,1.02
Lavillette,New Brunswick,47.26,-65.33,February,4.41,4.51,4.69,4.09,5.56,2.29
Lavillette,New Brunswick,47.26,-65.33,January,3.9,3.66,3.94,3.19,4.49,1.36
Lavillette,New Brunswick,47.26,-65.33,July,2.7,4.9,4.25,5.36,7.58,5.41
Lavillette,New Brunswick,47.26,-65.33,June,2.62,4.93,4.24,5.44,7.84,5.58
Lavillette,New Brunswick,47.26,-65.33,March,4.36,5.16,5.09,4.97,6.59,3.41
Lavillette,New Brunswick,47.26,-65.33,May,2.73,4.82,4.22,5.2,7.3,5.06
Lavillette,New Brunswick,47.26,-65.33,November,2.53,2.59,2.7,2.33,3.09,1.29
Lavillette,New Brunswick,47.26,-65.33,October,3.06,3.54,3.55,3.34,4.35,2.19
Lavillette,New Brunswick,47.26,-65.33,September,3.24,4.42,4.19,4.43,5.88,3.59
Lennox Island,Prince Edward Island,46.6,-63.86,Annual,3.06,4.12,3.91,4.12,5.63,3.38
Lennox Island,Prince Edward Island,46.6,-63.86,April,3.06,4.57,4.21,4.73,6.27,4.26
Lennox Island,Prince Edward Island,46.6,-63.86,August,2.97,4.9,4.41,5.16,7.1,4.83
Lennox Island,Prince Edward Island,46.6,-63.86,December,2.55,2.41,2.59,2.1,2.92,1.03
Lennox Island,Prince Edward Island,46.6,-63.86,February,4.15,4.27,4.44,3.9,5.26,2.28
Lennox Island,Prince Edward Island,46.6,-63.86,January,3.53,3.35,3.59,2.93,4.1,1.37
Lennox Island,Prince Edward Island,46.6,-63.86,July,2.69,4.96,4.31,5.41,7.62,5.49
Lennox Island,Prince Edward Island,46.6,-63.86,June,2.59,4.97,4.27,5.47,7.84,5.6
Lennox Island,Prince Edward Island,46.6,-63.86,March,4.15,4.96,4.89,4.79,6.35,3.43
Lennox Island,Prince Edward Island,46.6,-63.86,May,2.69,4.78,4.19,5.14,7.12,5.04
Lennox Island,Prince Edward Island,46.6,-63.86,November,2.35,2.43,2.53,2.2,2.91,1.31
Lennox Island,Prince Edward Island,46.6,-63.86,October,2.92,3.43,3.43,3.25,4.25,2.24
Lennox Island,Prince Edward Island,46.6,-63.86,September,3.13,4.35,4.12,4.35,5.79,3.59
Lyn,Ontario,44.58,-75.78,Annual,3.12,4.37,4.14,4.38,6.06,3.61
Lyn,Ontario,44.58,-75.78,April,3.1,4.95,4.54,5.11,6.91,4.43
Lyn,Ontario,44.58,-75.78,August,2.97,5.15,4.62,5.42,7.57,5.07
Lyn,Ontario,44.58,-75.78,December,2.71,2.59,2.78,2.26,3.14,1.19
Lyn,Ontario,44.58,-75.78,February,4.28,4.46,4.63,4.06,5.52,2.51
Lyn,Ontario,44.58,-75.78,January,3.38,3.25,3.48,2.86,3.98,1.56
Lyn,Ontario,44.58,-75.78,July,2.73,5.47,4.71,5.97,8.69,6
Lyn,Ontario,44.58,-75.78,June,2.61,5.35,4.57,5.88,8.54,5.97
Lyn,Ontario,44.58,-75.78,March,4.21,5.19,5.12,5.01,6.73,3.64
Lyn,Ontario,44.58,-75.78,May,2.74,5.19,4.54,5.59,7.86,5.37
Lyn,Ontario,44.58,-75.78,November,2.45,2.56,2.67,2.32,3.07,1.37
Lyn,Ontario,44.58,-75.78,October,3.18,3.76,3.78,3.54,4.67,2.43
Lyn,Ontario,44.58,-75.78,September,3.14,4.48,4.25,4.48,6,3.73
Manouane,Quebec,47.89,-73.81,Annual,3.27,4.34,4.13,4.33,6.02,3.44
Manouane,Quebec,47.89,-73.81,April,3.62,5.32,4.92,5.47,7.41,4.59
Manouane,Quebec,47.89,-73.81,August,2.94,4.85,4.35,5.11,7.18,4.75
Manouane,Quebec,47.89,-73.81,December,3.08,2.86,3.09,2.47,3.49,1.09
Manouane,Quebec,47.89,-73.81,February,4.84,4.89,5.11,4.41,6.11,2.42
Manouane,Quebec,47.89,-73.81,January,3.8,3.58,3.85,3.11,4.38,1.44
Manouane,Quebec,47.89,-73.81,July,2.71,5.08,4.37,5.54,8.07,5.61
Manouane,Quebec,47.89,-73.81,June,2.58,4.98,4.25,5.48,8.04,5.69
Manouane,Quebec,47.89,-73.81,March,4.9,5.76,5.7,5.53,7.46,3.64
Manouane,Quebec,47.89,-73.81,May,2.82,5.02,4.39,5.42,7.77,5.28
Manouane,Quebec,47.89,-73.81,November,2.4,2.45,2.55,2.21,2.91,1.23
Manouane,Quebec,47.89,-73.81,October,2.78,3.23,3.23,3.06,3.97,2.1
Manouane,Quebec,47.89,-73.81,September,2.93,4.08,3.85,4.09,5.44,3.4
Marieval,Saskatchewan,50.58,-102.65,Annual,3.81,4.9,4.67,4.88,7.04,3.65
Marieval,Saskatchewan,50.58,-102.65,April,4.17,5.96,5.49,6.11,8.71,4.98
Marieval,Saskatchewan,50.58,-102.65,August,3.56,5.6,5.01,5.89,8.69,5.19
Marieval,Saskatchewan,50.58,-102.65,December,3.37,3.11,3.37,2.68,3.77,0.97
Marieval,Saskatchewan,50.58,-102.65,February,4.84,4.89,5.09,4.43,6.06,2.26
Marieval,Saskatchewan,50.58,-102.65,January,4.04,3.78,4.07,3.28,4.62,1.29
Marieval,Saskatchewan,50.58,-102.65,July,3.24,5.79,4.96,6.33,9.89,6.24
Marieval,Saskatchewan,50.58,-102.65,June,3.05,5.57,4.73,6.15,9.68,6.16
Marieval,Saskatchewan,50.58,-102.65,March,4.97,5.7,5.64,5.47,7.41,3.61
Marieval,Saskatchewan,50.58,-102.65,May,3.32,5.56,4.85,6.01,9.03,5.79
Marieval,Saskatchewan,50.58,-102.65,November,3.45,3.37,3.57,2.99,4.1,1.28
Marieval,Saskatchewan,50.58,-102.65,October,4.04,4.49,4.53,4.19,5.66,2.29
Marieval,Saskatchewan,50.58,-102.65,September,3.8,4.99,4.74,4.97,6.83,3.64
Marsh Lake,Yukon,60.51,-134.33,Annual,2.8,3.49,3.22,3.58,5,2.79
Marsh Lake,Yukon,60.51,-134.33,April,4.21,5.39,4.91,5.56,7.8,4.4
Marsh Lake,Yukon,60.51,-134.33,August,3.53,4.77,4.25,5.04,7.07,4.11
Marsh Lake,Yukon,60.51,-134.33,December,0.71,0.67,0.71,0.59,0.74,0.19
Marsh Lake,Yukon,60.51,-134.33,February,2.95,2.98,3.05,2.73,3.47,1.09
Marsh Lake,Yukon,60.51,-134.33,January,1.29,1.24,1.3,1.11,1.4,0.34
Marsh Lake,Yukon,60.51,-134.33,July,3.34,4.8,4.13,5.26,7.7,5.19
Marsh Lake,Yukon,60.51,-134.33,June,3.54,5.16,4.39,5.69,8.62,5.81
Marsh Lake,Yukon,60.51,-134.33,March,4.1,4.56,4.46,4.41,5.78,2.57
Marsh Lake,Yukon,60.51,-134.33,May,3.61,5.12,4.43,5.56,8.23,5.36
Marsh Lake,Yukon,60.51,-134.33,November,1.31,1.3,1.34,1.17,1.48,0.46
Marsh Lake,Yukon,60.51,-134.33,October,2.05,2.26,2.24,2.17,2.74,1.23
Marsh Lake,Yukon,60.51,-134.33,September,3,3.69,3.46,3.7,4.88,2.66
Maskwacis,Alberta,52.83,-113.46,Annual,3.63,4.59,4.36,4.6,6.54,3.49
Maskwacis,Alberta,52.83,-113.46,April,4.12,5.71,5.26,5.88,8.31,4.82
Maskwacis,Alberta,52.83,-113.46,August,3.5,5.26,4.71,5.55,8.09,5.14
Maskwacis,Alberta,52.83,-113.46,December,2.86,2.65,2.86,2.29,3.16,0.77
Maskwacis,Alberta,52.83,-113.46,February,4.32,4.41,4.56,4.04,5.36,1.96
Maskwacis,Alberta,52.83,-113.46,January,3.37,3.18,3.4,2.78,3.78,1.01
Maskwacis,Alberta,52.83,-113.46,July,3.25,5.42,4.67,5.94,9.11,6.11
Maskwacis,Alberta,52.83,-113.46,June,3.16,5.36,4.59,5.94,9.15,6.13
Maskwacis,Alberta,52.83,-113.46,March,4.65,5.36,5.26,5.17,6.86,3.43
Maskwacis,Alberta,52.83,-113.46,May,3.3,5.26,4.61,5.71,8.51,5.71
Maskwacis,Alberta,52.83,-113.46,November,3.31,3.24,3.42,2.88,3.88,1.11
Maskwacis,Alberta,52.83,-113.46,October,4,4.4,4.42,4.11,5.51,2.16
Maskwacis,Alberta,52.83,-113.46,September,3.82,4.89,4.64,4.86,6.7,3.45
Mayne,BC,48.85,-123.3,Annual,2.81,3.95,3.68,4.02,5.63,3.45
Mayne,BC,48.85,-123.3,April,3.15,4.73,4.32,4.91,6.69,4.51
Mayne,BC,48.85,-123.3,August,3.38,5.47,4.9,5.76,8.32,5.4
Mayne,BC,48.85,-123.3,December,1.7,1.66,1.76,1.46,1.96,0.72
Mayne,BC,48.85,-123.3,February,2.53,2.76,2.81,2.56,3.31,1.66
Mayne,BC,48.85,-123.3,January,1.83,1.84,1.94,1.65,2.17,0.9
Mayne,BC,48.85,-123.3,July,3.02,5.54,4.78,6.06,9.1,6.29
Mayne,BC,48.85,-123.3,June,2.79,5.17,4.42,5.7,8.5,5.92
Mayne,BC,48.85,-123.3,March,3.22,4.06,3.93,3.96,5.23,3.02
Mayne,BC,48.85,-123.3,May,2.9,5,4.36,5.4,7.74,5.48
Mayne,BC,48.85,-123.3,November,2,2.07,2.15,1.87,2.43,1.04
Mayne,BC,48.85,-123.3,October,3.2,3.68,3.68,3.47,4.59,2.29
Mayne,BC,48.85,-123.3,September,3.99,5.36,5.11,5.31,7.35,4.09
Merlin,Ontario,42.24,-82.23,Annual,3,4.42,4.17,4.47,6.21,3.82
Merlin,Ontario,42.24,-82.23,April,3.11,5.14,4.73,5.31,7.24,4.52
Merlin,Ontario,42.24,-82.23,August,2.94,5.35,4.81,5.64,7.92,5.4
Merlin,Ontario,42.24,-82.23,December,2.34,2.32,2.46,2.07,2.77,1.29
Merlin,Ontario,42.24,-82.23,February,3.69,3.99,4.11,3.68,4.86,2.66
Merlin,Ontario,42.24,-82.23,January,2.92,2.9,3.07,2.59,3.48,1.71
Merlin,Ontario,42.24,-82.23,July,2.62,5.63,4.86,6.17,9.18,6.33
Merlin,Ontario,42.24,-82.23,June,2.58,5.67,4.86,6.27,9.31,6.13
Merlin,Ontario,42.24,-82.23,March,3.54,4.57,4.47,4.45,5.81,3.68
Merlin,Ontario,42.24,-82.23,May,2.82,5.57,4.89,6.01,8.51,5.54
Merlin,Ontario,42.24,-82.23,November,2.59,2.76,2.88,2.51,3.32,1.54
Merlin,Ontario,42.24,-82.23,October,3.53,4.26,4.28,4,5.36,2.81
Merlin,Ontario,42.24,-82.23,September,3.37,4.91,4.67,4.9,6.65,4.17
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,Annual,3.22,4.22,4.02,4.22,5.86,3.38
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,April,3.64,5.31,4.89,5.47,7.39,4.63
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,August,2.98,4.8,4.3,5.06,7.11,4.63
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,December,2.94,2.74,2.96,2.38,3.31,1.04
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,February,4.64,4.68,4.88,4.24,5.81,2.38
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,January,3.62,3.41,3.66,2.98,4.14,1.39
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,July,2.68,4.85,4.18,5.3,7.69,5.39
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,June,2.68,4.94,4.23,5.45,8.03,5.64
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,March,4.89,5.68,5.63,5.46,7.33,3.69
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,May,2.88,5,4.37,5.4,7.78,5.23
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,November,2.34,2.37,2.48,2.15,2.82,1.21
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,October,2.56,3,2.98,2.86,3.71,2.02
Métabetchouan--Lac-à-la-Croix,Quebec,48.43,-71.87,September,2.84,3.92,3.7,3.94,5.22,3.24
Micmac,Nova Scotia,45.1,-63.49,Annual,2.87,3.99,3.78,4.01,5.44,3.41
Micmac,Nova Scotia,45.1,-63.49,April,2.74,4.3,3.94,4.45,5.88,4.11
Micmac,Nova Scotia,45.1,-63.49,August,2.84,4.87,4.38,5.12,7.01,4.96
Micmac,Nova Scotia,45.1,-63.49,December,2.39,2.3,2.46,2.01,2.77,1.08
Micmac,Nova Scotia,45.1,-63.49,February,3.68,3.87,4,3.56,4.73,2.27
Micmac,Nova Scotia,45.1,-63.49,January,2.99,2.89,3.08,2.55,3.54,1.4
Micmac,Nova Scotia,45.1,-63.49,July,2.54,4.91,4.26,5.35,7.51,5.58
Micmac,Nova Scotia,45.1,-63.49,June,2.49,4.93,4.24,5.42,7.68,5.63
Micmac,Nova Scotia,45.1,-63.49,March,3.73,4.59,4.51,4.45,5.86,3.3
Micmac,Nova Scotia,45.1,-63.49,May,2.51,4.64,4.06,4.99,6.87,5.02
Micmac,Nova Scotia,45.1,-63.49,November,2.37,2.49,2.59,2.26,2.98,1.39
Micmac,Nova Scotia,45.1,-63.49,October,3.06,3.63,3.63,3.43,4.5,2.41
Micmac,Nova Scotia,45.1,-63.49,September,3.12,4.46,4.23,4.45,5.97,3.73
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,Annual,2.46,3.36,3.16,3.41,4.48,3.07
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,April,2.71,3.99,3.67,4.14,5.24,3.87
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,August,2.69,4.34,3.89,4.58,6.12,4.5
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,December,1.78,1.74,1.83,1.55,1.98,0.84
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,February,2.94,3.08,3.16,2.85,3.68,1.87
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,January,2.33,2.26,2.39,2.01,2.61,1.09
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,July,2.44,4.37,3.79,4.76,6.48,5.16
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,June,2.33,4.29,3.7,4.71,6.51,5.3
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,March,3.32,3.96,3.88,3.86,4.9,2.97
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,May,2.37,4.12,3.61,4.45,6.05,4.79
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,November,1.68,1.79,1.84,1.66,2.08,1.11
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,October,2.22,2.65,2.61,2.54,3.21,1.98
Milltown-Head of Bay D'Espoir,Newfoundland and Labrador,47.93,-55.74,September,2.71,3.73,3.52,3.76,4.84,3.27
Miminegash,Prince Edward Island,46.88,-64.23,Annual,3.11,4.15,3.95,4.15,5.68,3.36
Miminegash,Prince Edward Island,46.88,-64.23,April,3.11,4.61,4.25,4.76,6.32,4.24
Miminegash,Prince Edward Island,46.88,-64.23,August,2.99,4.91,4.42,5.18,7.13,4.81
Miminegash,Prince Edward Island,46.88,-64.23,December,2.69,2.54,2.73,2.2,3.07,1.02
Miminegash,Prince Edward Island,46.88,-64.23,February,4.23,4.34,4.51,3.96,5.35,2.26
Miminegash,Prince Edward Island,46.88,-64.23,January,3.68,3.47,3.73,3.03,4.26,1.36
Miminegash,Prince Edward Island,46.88,-64.23,July,2.69,4.92,4.27,5.37,7.56,5.44
Miminegash,Prince Edward Island,46.88,-64.23,June,2.61,4.97,4.27,5.47,7.86,5.6
Miminegash,Prince Edward Island,46.88,-64.23,March,4.21,5.02,4.95,4.84,6.42,3.41
Miminegash,Prince Edward Island,46.88,-64.23,May,2.71,4.8,4.21,5.18,7.2,5.05
Miminegash,Prince Edward Island,46.88,-64.23,November,2.39,2.46,2.57,2.23,2.94,1.29
Miminegash,Prince Edward Island,46.88,-64.23,October,2.94,3.44,3.44,3.25,4.25,2.21
Miminegash,Prince Edward Island,46.88,-64.23,September,3.16,4.35,4.12,4.35,5.79,3.57
Mistawasis,Saskatchewan,53.18,-106.8,Annual,3.81,4.77,4.54,4.76,6.89,3.49
Mistawasis,Saskatchewan,53.18,-106.8,April,4.35,5.96,5.5,6.1,8.77,4.82
Mistawasis,Saskatchewan,53.18,-106.8,August,3.64,5.46,4.88,5.76,8.56,4.99
Mistawasis,Saskatchewan,53.18,-106.8,December,3.06,2.81,3.04,2.42,3.34,0.77
Mistawasis,Saskatchewan,53.18,-106.8,February,4.92,4.91,5.12,4.44,6.02,2.03
Mistawasis,Saskatchewan,53.18,-106.8,January,3.74,3.49,3.74,3.03,4.18,1.06
Mistawasis,Saskatchewan,53.18,-106.8,July,3.32,5.55,4.77,6.09,9.58,6.11
Mistawasis,Saskatchewan,53.18,-106.8,June,3.22,5.51,4.67,6.09,9.71,6.17
Mistawasis,Saskatchewan,53.18,-106.8,March,5.21,5.84,5.79,5.6,7.59,3.46
Mistawasis,Saskatchewan,53.18,-106.8,May,3.55,5.68,4.94,6.13,9.36,5.81
Mistawasis,Saskatchewan,53.18,-106.8,November,3.18,3.08,3.26,2.73,3.7,1.1
Mistawasis,Saskatchewan,53.18,-106.8,October,3.93,4.28,4.31,3.99,5.31,2.1
Mistawasis,Saskatchewan,53.18,-106.8,September,3.72,4.74,4.5,4.73,6.51,3.42
Monchy,Saskatchewan,49.02,-107.83,Annual,3.81,5.04,4.79,5.02,7.2,3.88
Monchy,Saskatchewan,49.02,-107.83,April,3.89,5.76,5.29,5.93,8.34,5.01
Monchy,Saskatchewan,49.02,-107.83,August,3.8,6.12,5.49,6.44,9.46,5.68
Monchy,Saskatchewan,49.02,-107.83,December,3.19,2.98,3.22,2.57,3.63,1.13
Monchy,Saskatchewan,49.02,-107.83,February,4.63,4.78,4.96,4.33,5.91,2.44
Monchy,Saskatchewan,49.02,-107.83,January,3.93,3.73,4.01,3.25,4.56,1.44
Monchy,Saskatchewan,49.02,-107.83,July,3.36,6.17,5.3,6.76,10.41,6.62
Monchy,Saskatchewan,49.02,-107.83,June,3.12,5.85,4.98,6.46,9.9,6.33
Monchy,Saskatchewan,49.02,-107.83,March,4.44,5.33,5.24,5.13,6.91,3.76
Monchy,Saskatchewan,49.02,-107.83,May,3.22,5.61,4.89,6.06,8.84,5.84
Monchy,Saskatchewan,49.02,-107.83,November,3.66,3.62,3.83,3.21,4.41,1.48
Monchy,Saskatchewan,49.02,-107.83,October,4.34,4.92,4.96,4.59,6.29,2.63
Monchy,Saskatchewan,49.02,-107.83,September,4.18,5.58,5.31,5.53,7.68,4.06
Monkland,Ontario,45.2,-74.88,Annual,3.16,4.36,4.14,4.36,6.05,3.56
Monkland,Ontario,45.2,-74.88,April,3.17,4.97,4.57,5.13,6.93,4.41
Monkland,Ontario,45.2,-74.88,August,2.97,5.09,4.57,5.36,7.5,4.99
Monkland,Ontario,45.2,-74.88,December,2.81,2.66,2.86,2.31,3.24,1.17
Monkland,Ontario,45.2,-74.88,February,4.43,4.57,4.76,4.15,5.7,2.48
Monkland,Ontario,45.2,-74.88,January,3.49,3.33,3.57,2.92,4.08,1.53
Monkland,Ontario,45.2,-74.88,July,2.71,5.35,4.61,5.84,8.48,5.88
Monkland,Ontario,45.2,-74.88,June,2.58,5.23,4.46,5.74,8.35,5.88
Monkland,Ontario,45.2,-74.88,March,4.39,5.34,5.27,5.14,6.93,3.63
Monkland,Ontario,45.2,-74.88,May,2.74,5.14,4.48,5.53,7.83,5.34
Monkland,Ontario,45.2,-74.88,November,2.48,2.58,2.69,2.32,3.08,1.34
Monkland,Ontario,45.2,-74.88,October,3.13,3.68,3.69,3.46,4.56,2.36
Monkland,Ontario,45.2,-74.88,September,3.12,4.42,4.19,4.42,5.9,3.65
Montreal Lake,Saskatchewan,54.05,-105.77,Annual,3.73,4.65,4.41,4.64,6.73,3.42
Montreal Lake,Saskatchewan,54.05,-105.77,April,4.46,6.02,5.56,6.16,8.87,4.83
Montreal Lake,Saskatchewan,54.05,-105.77,August,3.63,5.36,4.79,5.66,8.43,4.86
Montreal Lake,Saskatchewan,54.05,-105.77,December,2.86,2.62,2.84,2.26,3.11,0.69
Montreal Lake,Saskatchewan,54.05,-105.77,February,4.8,4.78,4.98,4.32,5.85,1.93
Montreal Lake,Saskatchewan,54.05,-105.77,January,3.55,3.31,3.55,2.87,3.95,0.97
Montreal Lake,Saskatchewan,54.05,-105.77,July,3.31,5.45,4.68,5.98,9.46,6.02
Montreal Lake,Saskatchewan,54.05,-105.77,June,3.24,5.44,4.61,6.01,9.64,6.14
Montreal Lake,Saskatchewan,54.05,-105.77,March,5.27,5.87,5.83,5.62,7.64,3.41
Montreal Lake,Saskatchewan,54.05,-105.77,May,3.59,5.66,4.92,6.1,9.35,5.81
Montreal Lake,Saskatchewan,54.05,-105.77,November,2.96,2.86,3.02,2.53,3.42,1.01
Montreal Lake,Saskatchewan,54.05,-105.77,October,3.62,3.93,3.96,3.68,4.87,1.96
Montreal Lake,Saskatchewan,54.05,-105.77,September,3.56,4.51,4.27,4.49,6.18,3.26
Moose Creek,Ontario,45.26,-74.97,Annual,3.17,4.37,4.14,4.37,6.06,3.56
Moose Creek,Ontario,45.26,-74.97,April,3.19,4.99,4.59,5.15,6.96,4.42
Moose Creek,Ontario,45.26,-74.97,August,2.98,5.09,4.57,5.36,7.51,4.99
Moose Creek,Ontario,45.26,-74.97,December,2.82,2.66,2.87,2.32,3.25,1.17
Moose Creek,Ontario,45.26,-74.97,February,4.46,4.59,4.79,4.17,5.73,2.48
Moose Creek,Ontario,45.26,-74.97,January,3.51,3.35,3.59,2.93,4.1,1.53
Moose Creek,Ontario,45.26,-74.97,July,2.71,5.35,4.6,5.83,8.47,5.87
Moose Creek,Ontario,45.26,-74.97,June,2.58,5.22,4.45,5.74,8.35,5.87
Moose Creek,Ontario,45.26,-74.97,March,4.4,5.35,5.29,5.15,6.94,3.62
Moose Creek,Ontario,45.26,-74.97,May,2.74,5.13,4.48,5.53,7.83,5.34
Moose Creek,Ontario,45.26,-74.97,November,2.48,2.57,2.68,2.32,3.08,1.34
Moose Creek,Ontario,45.26,-74.97,October,3.12,3.67,3.68,3.45,4.55,2.35
Moose Creek,Ontario,45.26,-74.97,September,3.12,4.41,4.18,4.42,5.9,3.65
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,Annual,2.68,3.51,3.32,3.54,4.72,3.1
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,April,3.06,4.27,3.94,4.42,5.68,4.14
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,August,2.71,4.26,3.82,4.51,6.08,4.39
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,December,2.04,1.93,2.07,1.7,2.26,0.79
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,February,3.41,3.49,3.6,3.2,4.21,1.91
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,January,2.67,2.54,2.71,2.25,3.01,1.07
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,July,2.58,4.47,3.88,4.88,6.81,5.23
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,June,2.43,4.26,3.68,4.68,6.57,5.37
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,March,3.77,4.38,4.31,4.26,5.47,3.12
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,May,2.52,4.12,3.63,4.45,6.08,4.83
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,November,1.94,1.99,2.06,1.82,2.32,1.06
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,October,2.35,2.73,2.71,2.61,3.32,1.9
Moreton's Harbour,Newfoundland and Labrador,49.57,-54.87,September,2.75,3.71,3.5,3.73,4.83,3.28
Mount Brydges,Ontario,42.91,-81.5,Annual,2.87,4.23,3.98,4.28,5.93,3.7
Mount Brydges,Ontario,42.91,-81.5,April,3.11,5.06,4.65,5.22,7.11,4.4
Mount Brydges,Ontario,42.91,-81.5,August,2.83,5.13,4.61,5.41,7.56,5.25
Mount Brydges,Ontario,42.91,-81.5,December,2.17,2.16,2.29,1.94,2.56,1.23
Mount Brydges,Ontario,42.91,-81.5,February,3.55,3.82,3.93,3.53,4.64,2.52
Mount Brydges,Ontario,42.91,-81.5,January,2.68,2.67,2.82,2.39,3.2,1.61
Mount Brydges,Ontario,42.91,-81.5,July,2.58,5.46,4.73,6,8.91,6.2
Mount Brydges,Ontario,42.91,-81.5,June,2.53,5.49,4.71,6.07,9.01,6.06
Mount Brydges,Ontario,42.91,-81.5,March,3.53,4.5,4.4,4.38,5.69,3.56
Mount Brydges,Ontario,42.91,-81.5,May,2.71,5.31,4.66,5.73,8.12,5.48
Mount Brydges,Ontario,42.91,-81.5,November,2.36,2.53,2.62,2.3,3.03,1.44
Mount Brydges,Ontario,42.91,-81.5,October,3.28,3.96,3.98,3.73,4.96,2.64
Mount Brydges,Ontario,42.91,-81.5,September,3.18,4.65,4.41,4.64,6.29,3.97
Murraydale,Saskatchewan,49.7,-109.28,Annual,3.74,4.89,4.65,4.88,6.98,3.75
Murraydale,Saskatchewan,49.7,-109.28,April,3.86,5.63,5.18,5.79,8.14,4.83
Murraydale,Saskatchewan,49.7,-109.28,August,3.67,5.84,5.23,6.15,8.98,5.54
Murraydale,Saskatchewan,49.7,-109.28,December,3.11,2.91,3.14,2.52,3.52,1.05
Murraydale,Saskatchewan,49.7,-109.28,February,4.52,4.66,4.83,4.23,5.75,2.29
Murraydale,Saskatchewan,49.7,-109.28,January,3.82,3.63,3.89,3.16,4.41,1.34
Murraydale,Saskatchewan,49.7,-109.28,July,3.32,6,5.16,6.58,10.11,6.52
Murraydale,Saskatchewan,49.7,-109.28,June,3.08,5.67,4.83,6.27,9.57,6.23
Murraydale,Saskatchewan,49.7,-109.28,March,4.42,5.25,5.17,5.06,6.78,3.58
Murraydale,Saskatchewan,49.7,-109.28,May,3.18,5.44,4.75,5.87,8.62,5.78
Murraydale,Saskatchewan,49.7,-109.28,November,3.58,3.53,3.73,3.13,4.28,1.4
Murraydale,Saskatchewan,49.7,-109.28,October,4.29,4.82,4.86,4.5,6.13,2.51
Murraydale,Saskatchewan,49.7,-109.28,September,4.05,5.36,5.1,5.33,7.36,3.83
Muskeg River,Alberta,53.92,-118.65,Annual,3.34,4.25,4,4.27,6.05,3.29
Muskeg River,Alberta,53.92,-118.65,April,4.09,5.61,5.15,5.76,8.14,4.65
Muskeg River,Alberta,53.92,-118.65,August,3.33,4.95,4.42,5.22,7.57,4.92
Muskeg River,Alberta,53.92,-118.65,December,2.29,2.13,2.29,1.85,2.49,0.61
Muskeg River,Alberta,53.92,-118.65,February,3.74,3.82,3.93,3.51,4.6,1.67
Muskeg River,Alberta,53.92,-118.65,January,2.63,2.5,2.66,2.2,2.94,0.81
Muskeg River,Alberta,53.92,-118.65,July,3.21,5.25,4.51,5.74,8.8,5.94
Muskeg River,Alberta,53.92,-118.65,June,3.17,5.31,4.51,5.86,9.11,6
Muskeg River,Alberta,53.92,-118.65,March,4.42,5.06,4.97,4.89,6.48,3.14
